001  00194 | LR: 9.650000e-05 | Loss: 1.939 | Acc: 14.485% 
001  00195 | LR: 9.700000e-05 | Loss: 1.939 | Acc: 14.496% 
001  00196 | LR: 9.750000e-05 | Loss: 1.939 | Acc: 14.507% 
001  00197 | LR: 9.800000e-05 | Loss: 1.938 | Acc: 14.526% 
001  00198 | LR: 9.850000e-05 | Loss: 1.938 | Acc: 14.554% 
001  00199 | LR: 9.900000e-05 | Loss: 1.938 | Acc: 14.623% 
001  00200 | LR: 9.950000e-05 | Loss: 1.937 | Acc: 14.692% 
001  00201 | LR: 1.000000e-04 | Loss: 1.937 | Acc: 14.701% 
001  00202 | LR: 1.005000e-04 | Loss: 1.937 | Acc: 14.769% 
001  00203 | LR: 1.010000e-04 | Loss: 1.936 | Acc: 14.803% 
001  00204 | LR: 1.015000e-04 | Loss: 1.936 | Acc: 14.853% 
001  00205 | LR: 1.020000e-04 | Loss: 1.935 | Acc: 14.902% 
001  00206 | LR: 1.025000e-04 | Loss: 1.934 | Acc: 14.976% 
001  00207 | LR: 1.030000e-04 | Loss: 1.934 | Acc: 15.024% 
001  00208 | LR: 1.035000e-04 | Loss: 1.934 | Acc: 15.032% 
001  00209 | LR: 1.040000e-04 | Loss: 1.933 | Acc: 15.104% 
001  00210 | LR: 1.045000e-04 | Loss: 1.933 | Acc: 15.167% 
001  00211 | LR: 1.050000e-04 | Loss: 1.932 | Acc: 15.150% 
001  00212 | LR: 1.055000e-04 | Loss: 1.932 | Acc: 15.134% 
001  00213 | LR: 1.060000e-04 | Loss: 1.932 | Acc: 15.156% 
001  00214 | LR: 1.065000e-04 | Loss: 1.931 | Acc: 15.187% 
001  00215 | LR: 1.070000e-04 | Loss: 1.931 | Acc: 15.225% 
001  00216 | LR: 1.075000e-04 | Loss: 1.930 | Acc: 15.270% 
001  00217 | LR: 1.080000e-04 | Loss: 1.929 | Acc: 15.338% 
001  00218 | LR: 1.085000e-04 | Loss: 1.929 | Acc: 15.420% 
001  00219 | LR: 1.090000e-04 | Loss: 1.929 | Acc: 15.441% 
001  00220 | LR: 1.095000e-04 | Loss: 1.928 | Acc: 15.492% 
001  00221 | LR: 1.100000e-04 | Loss: 1.928 | Acc: 15.551% 
001  00222 | LR: 1.105000e-04 | Loss: 1.927 | Acc: 15.593% 
001  00223 | LR: 1.110000e-04 | Loss: 1.926 | Acc: 15.613% 
001  00224 | LR: 1.115000e-04 | Loss: 1.926 | Acc: 15.655% 
001  00225 | LR: 1.120000e-04 | Loss: 1.926 | Acc: 15.674% 
001  00226 | LR: 1.125000e-04 | Loss: 1.925 | Acc: 15.752% 
001  00227 | LR: 1.130000e-04 | Loss: 1.924 | Acc: 15.808% 
001  00228 | LR: 1.135000e-04 | Loss: 1.923 | Acc: 15.885% 
001  00229 | LR: 1.140000e-04 | Loss: 1.922 | Acc: 15.946% 
001  00230 | LR: 1.145000e-04 | Loss: 1.922 | Acc: 15.964% 
001  00231 | LR: 1.150000e-04 | Loss: 1.921 | Acc: 16.032% 
001  00232 | LR: 1.155000e-04 | Loss: 1.921 | Acc: 16.063% 
001  00233 | LR: 1.160000e-04 | Loss: 1.920 | Acc: 16.109% 
001  00234 | LR: 1.165000e-04 | Loss: 1.919 | Acc: 16.154% 
001  00235 | LR: 1.170000e-04 | Loss: 1.919 | Acc: 16.213% 
001  00236 | LR: 1.175000e-04 | Loss: 1.919 | Acc: 16.236% 
001  00237 | LR: 1.180000e-04 | Loss: 1.918 | Acc: 16.308% 
001  00238 | LR: 1.185000e-04 | Loss: 1.918 | Acc: 16.331% 
001  00239 | LR: 1.190000e-04 | Loss: 1.917 | Acc: 16.374% 
001  00240 | LR: 1.195000e-04 | Loss: 1.916 | Acc: 16.417% 
001  00241 | LR: 1.200000e-04 | Loss: 1.915 | Acc: 16.487% 
