001  00239 | LR: 1.190000e-04 | Loss: 1.916 | Acc: 16.402% 
001  00240 | LR: 1.195000e-04 | Loss: 1.915 | Acc: 16.458% 
001  00241 | LR: 1.200000e-04 | Loss: 1.916 | Acc: 16.390% 
001  00242 | LR: 1.205000e-04 | Loss: 1.915 | Acc: 16.405% 
001  00243 | LR: 1.210000e-04 | Loss: 1.915 | Acc: 16.379% 
001  00244 | LR: 1.215000e-04 | Loss: 1.916 | Acc: 16.311% 
001  00245 | LR: 1.220000e-04 | Loss: 1.915 | Acc: 16.286% 
001  00246 | LR: 1.225000e-04 | Loss: 1.915 | Acc: 16.341% 
001  00247 | LR: 1.230000e-04 | Loss: 1.914 | Acc: 16.478% 
001  00248 | LR: 1.235000e-04 | Loss: 1.913 | Acc: 16.492% 
001  00249 | LR: 1.240000e-04 | Loss: 1.914 | Acc: 16.466% 
001  00250 | LR: 1.245000e-04 | Loss: 1.913 | Acc: 16.440% 
001  00251 | LR: 1.250000e-04 | Loss: 1.913 | Acc: 16.414% 
001  00252 | LR: 1.255000e-04 | Loss: 1.912 | Acc: 16.468% 
001  00253 | LR: 1.260000e-04 | Loss: 1.911 | Acc: 16.561% 
001  00254 | LR: 1.265000e-04 | Loss: 1.911 | Acc: 16.614% 
001  00255 | LR: 1.270000e-04 | Loss: 1.910 | Acc: 16.667% 
001  00256 | LR: 1.275000e-04 | Loss: 1.910 | Acc: 16.641% 
001  00257 | LR: 1.280000e-04 | Loss: 1.909 | Acc: 16.693% 
001  00258 | LR: 1.285000e-04 | Loss: 1.909 | Acc: 16.744% 
001  00259 | LR: 1.290000e-04 | Loss: 1.909 | Acc: 16.718% 
001  00260 | LR: 1.295000e-04 | Loss: 1.909 | Acc: 16.692% 
001  00261 | LR: 1.300000e-04 | Loss: 1.908 | Acc: 16.743% 
001  00262 | LR: 1.305000e-04 | Loss: 1.908 | Acc: 16.794% 
001  00263 | LR: 1.310000e-04 | Loss: 1.908 | Acc: 16.844% 
001  00264 | LR: 1.315000e-04 | Loss: 1.908 | Acc: 16.856% 
001  00265 | LR: 1.320000e-04 | Loss: 1.907 | Acc: 16.906% 
001  00266 | LR: 1.325000e-04 | Loss: 1.906 | Acc: 16.992% 
001  00267 | LR: 1.330000e-04 | Loss: 1.907 | Acc: 16.966% 
001  00268 | LR: 1.335000e-04 | Loss: 1.907 | Acc: 16.940% 
001  00269 | LR: 1.340000e-04 | Loss: 1.907 | Acc: 16.952% 
001  00270 | LR: 1.345000e-04 | Loss: 1.907 | Acc: 17.074% 
001  00271 | LR: 1.350000e-04 | Loss: 1.907 | Acc: 17.122% 
001  00272 | LR: 1.355000e-04 | Loss: 1.907 | Acc: 17.132% 
001  00273 | LR: 1.360000e-04 | Loss: 1.907 | Acc: 17.179% 
001  00274 | LR: 1.365000e-04 | Loss: 1.906 | Acc: 17.226% 
001  00275 | LR: 1.370000e-04 | Loss: 1.905 | Acc: 17.273% 
001  00276 | LR: 1.375000e-04 | Loss: 1.905 | Acc: 17.246% 
001  00277 | LR: 1.380000e-04 | Loss: 1.905 | Acc: 17.220% 
001  00278 | LR: 1.385000e-04 | Loss: 1.904 | Acc: 17.338% 
001  00279 | LR: 1.390000e-04 | Loss: 1.904 | Acc: 17.455% 
001  00280 | LR: 1.395000e-04 | Loss: 1.902 | Acc: 17.571% 
001  00281 | LR: 1.400000e-04 | Loss: 1.902 | Acc: 17.580% 
001  00282 | LR: 1.405000e-04 | Loss: 1.901 | Acc: 17.589% 
001  00283 | LR: 1.410000e-04 | Loss: 1.900 | Acc: 17.668% 
001  00284 | LR: 1.415000e-04 | Loss: 1.900 | Acc: 17.746% 
001  00285 | LR: 1.420000e-04 | Loss: 1.900 | Acc: 17.684% 
001  00286 | LR: 1.425000e-04 | Loss: 1.899 | Acc: 17.657% 
